Fecha;Transmitidas;Notificadas;IET;;
23-abr-18; 6.620 ; 9.688 ;68%;;
24-abr-18; 17.302 ; 28.906 ;60%;161%;
25-abr-18; 28.957 ; 43.755 ;66%;67%;
26-abr-18; 68.162 ; 69.099 ;99%;135%;
27-abr-18; 94.043 ; 82.494 ;114%;38%;
28-abr-18; 127.691 ; 105.637 ;121%;36%;
29-abr-18; 133.528 ; 147.860 ;90%;5%;
01-may-18; 175.140 ; 174.370 ;100%;31%;
02-may-18; 175.163 ; 174.549 ;100%;0%;
03-may-18; 211.113 ; 192.633 ;110%;21%;
04-may-18; 259.030 ; 217.339 ;119%;23%;
05-may-18; 315.720 ; 226.676 ;139%;22%;
06-may-18; 315.763 ; 226.676 ;139%;0%;
07-may-18; 315.763 ; 227.235 ;139%;0%;
08-may-18; 343.826 ; 351.610 ;98%;9%;
09-may-18; 412.479 ; 376.305 ;110%;20%;
10-may-18; 472.717 ; 447.957 ;106%;15%;
11-may-18; 550.624 ; 529.802 ;104%;16%;
12-may-18; 621.142 ; 573.360 ;108%;13%;
13-may-18; 684.374 ; 610.164 ;112%;10%;
14-may-18; 689.261 ; 614.698 ;112%;1%;
15-may-18; 689.270 ; 614.786 ;112%;0%;
16-may-18; 775.156 ; 671.940 ;115%;12%;
17-may-18; 873.573 ; 734.978 ;119%;13%;
18-may-18; 986.105 ; 795.146 ;124%;13%;
19-may-18; 1.087.578 ; 866.919 ;125%;10%;
20-may-18; 1.175.119 ; 921.562 ;128%;8%;
21-may-18; 1.179.366 ; 925.063 ;127%;0%;
22-may-18; 1.301.651 ; 1.007.081 ;129%;10%;
23-may-18; 1.422.526 ; 1.092.387 ;130%;9%;
24-may-18; 1.544.481 ; 1.180.377 ;131%;9%;
25-may-18; 1.674.142 ; 1.592.209 ;105%;8%;
26-may-18; 1.805.113 ; 1.944.788 ;93%;8%;
27-may-18; 1.898.381 ; 2.024.701 ;94%;5%;
28-may-18; 1.900.676 ; 2.026.993 ;94%;0%;
29-may-18; 2.035.180 ; 2.141.890 ;95%;7%;
30-may-18; 2.178.251 ; 2.279.900 ;96%;7%;
31-may-18; 2.324.649 ; 2.413.858 ;96%;7%;
