ID_DEPTO;DEPARTAMENTO;ID_MPIO;MUNICIPIO;MÉTODO;FASE;"TRANSMITIDAS
A";"NOTIFICADAS
B";% TRANSMISIÓN (A/B);REPORTE INICIO DE OPERACIÓN CONAL 30/05;;;
25;CUNDINAMARCA;25035;ANAPOIMA;BARRIDO;2;496;1223;40,56%;SI;;;
15;BOYACÁ;15879;VIRACACHÁ;BARRIDO;3;293;655;44,73%;SI;;;
15;BOYACÁ;15092;BETÉITIVA;BARRIDO;3;279;564;49,47%;SI;;;
70;SUCRE;70221;COVEÑAS;BARRIDO;3;1053;2035;51,74%;SI;;;
25;CUNDINAMARCA;25436;MANTA;BARRIDO;2;316;588;53,74%;SI;;;
15;BOYACÁ;15104;BOYACÁ;BARRIDO;3;370;684;54,09%;SI;;;
73;TOLIMA;73275;FLANDES;BARRIDO;3;1204;2126;56,63%;SI;;;
15;BOYACÁ;15720;SATIVANORTE;BARRIDO;3;225;397;56,68%;SI;;;
15;BOYACÁ;15599;RAMIRIQUÍ;BARRIDO;3;734;1274;57,61%;SI;;;
15;BOYACÁ;15839;TUTAZÁ;BARRIDO;3;178;305;58,36%;SI;;;
15;BOYACÁ;15798;TENZA;BARRIDO;3;637;1069;59,59%;SI;;;
15;BOYACÁ;15183;CHITA;BARRIDO;3;1226;2053;59,72%;SI;;;
05;ANTIOQUIA;5607;RETIRO;BARRIDO;2;102;169;60,36%;SI;;;
15;BOYACÁ;15407;VILLA DE LEYVA;BARRIDO;3;739;1221;60,52%;SI;;;
25;CUNDINAMARCA;25483;NARIÑO;BARRIDO;2;698;1153;60,54%;SI;;;
15;BOYACÁ;15162;CERINZA;BARRIDO;3;388;633;61,30%;SI;;;
15;BOYACÁ;15464;MONGUA;BARRIDO;3;725;1180;61,44%;SI;;;
15;BOYACÁ;15842;UMBITA;BARRIDO;3;727;1178;61,71%;SI;;;
15;BOYACÁ;15218;COVARACHÍA;BARRIDO;3;251;403;62,28%;SI;;;
15;BOYACÁ;15276;FLORESTA;BARRIDO;3;547;874;62,59%;SI;;;
25;CUNDINAMARCA;25372;JUNÍN;BARRIDO;2;323;515;62,72%;SI;;;
05;ANTIOQUIA;5313;GRANADA;BARRIDO;2;925;1471;62,88%;SI;;;
05;ANTIOQUIA;5206;CONCEPCIÓN;BARRIDO;2;927;1444;64,20%;SI;;;
15;BOYACÁ;15317;GUACAMAYAS;BARRIDO;3;381;592;64,36%;SI;;;
15;BOYACÁ;15550;PISBA;BARRIDO;3;154;238;64,71%;SI;;;
15;BOYACÁ;15632;SABOYÁ;BARRIDO;3;842;1299;64,82%;SI;;;
15;BOYACÁ;15172;CHINAVITA;BARRIDO;3;703;1082;64,97%;SI;;;
15;BOYACÁ;15816;TOGÜÍ;BARRIDO;3;411;632;65,03%;SI;;;
15;BOYACÁ;15822;TOTA;BARRIDO;3;547;825;66,30%;SI;;;
15;BOYACÁ;15272;FIRAVITOBA;BARRIDO;3;827;1246;66,37%;SI;;;
68;SANTANDER;68264;ENCINO;BARRIDO;2;427;643;66,41%;SI;;;
15;BOYACÁ;15778;SUTATENZA;BARRIDO;3;383;576;66,49%;SI;;;
15;BOYACÁ;15226;CUÍTIVA;BARRIDO;3;266;398;66,83%;SI;;;
15;BOYACÁ;15740;SIACHOQUE;BARRIDO;3;547;816;67,03%;SI;;;
76;VALLE DEL CAUCA;76364;JAMUNDÍ;BARRIDO;2;281;416;67,55%;SI;;;
05;ANTIOQUIA;5042;SANTAFÉ DE ANTIOQUIA;BARRIDO;2;1705;2522;67,61%;SI;;;
15;BOYACÁ;15522;PANQUEBA;BARRIDO;3;330;488;67,62%;SI;;;
15;BOYACÁ;15109;BUENAVISTA;BARRIDO;3;825;1215;67,90%;SI;;;
05;ANTIOQUIA;5197;COCORNÁ;BARRIDO;2;1537;2255;68,16%;SI;;;
15;BOYACÁ;15296;GAMEZA;BARRIDO;3;731;1072;68,19%;SI;;;
15;BOYACÁ;15367;JENESANO;BARRIDO;3;644;935;68,88%;SI;;;
25;CUNDINAMARCA;25299;GAMA;BARRIDO;2;304;439;69,25%;SI;;;
15;BOYACÁ;15542;PESCA;BARRIDO;3;714;1027;69,52%;SI;;;
68;SANTANDER;68820;TONA;BARRIDO;2;490;704;69,60%;SI;;;
15;BOYACÁ;15621;RONDÓN;BARRIDO;3;253;363;69,70%;SI;;;
15;BOYACÁ;15804;TIBANÁ;BARRIDO;3;1392;1995;69,77%;SI;;;
54;NORTE DE SANTANDER;54099;BOCHALEMA;BARRIDO;2;331;473;69,98%;SI;;;
68;SANTANDER;68425;MACARAVITA;BARRIDO;2;236;336;70,24%;SI;;;
05;ANTIOQUIA;5543;PEQUE;BARRIDO;2;758;1079;70,25%;SI;;;
73;TOLIMA;73055;ARMERO;BARRIDO;3;307;435;70,57%;SI;;;
15;BOYACÁ;15368;JERICÓ;BARRIDO;3;447;629;71,07%;SI;;;
05;ANTIOQUIA;5652;SAN FRANCISCO;BARRIDO;2;86;121;71,07%;SI;;;
25;CUNDINAMARCA;25513;PACHO;BARRIDO;2;1084;1525;71,08%;SI;;;
05;ANTIOQUIA;5541;PEÑOL;BARRIDO;2;1451;2037;71,23%;SI;;;
15;BOYACÁ;15511;PACHAVITA;BARRIDO;3;175;245;71,43%;SI;;;
68;SANTANDER;68502;ONZAGA;BARRIDO;2;441;614;71,82%;SI;;;
15;BOYACÁ;15808;TINJACÁ;BARRIDO;3;345;480;71,88%;SI;;;
05;ANTIOQUIA;5142;CARACOLÍ;BARRIDO;2;1012;1406;71,98%;SI;;;
15;BOYACÁ;15204;CÓMBITA;BARRIDO;3;1011;1403;72,06%;SI;;;
68;SANTANDER;68682;SAN JOAQUÍN;BARRIDO;2;349;484;72,11%;SI;;;
15;BOYACÁ;15494;NUEVO COLÓN;BARRIDO;3;574;794;72,29%;SI;;;
15;BOYACÁ;15106;BRICEÑO;BARRIDO;3;267;369;72,36%;SI;;;
