OBJECTID	MpCodigo	MpNombre	MpArea	MpNorma	MpCategor	altitud	Cod_Depto	Codigo	x	y	ORIG_FID
1	91540	Puerto Nariño	1455.583518	Decreto No. 0106 de 1984	1	100	91	91540	5280616.001	1157060.954	1
2	91001	Leticia	6009.64508	Decreto No. 0352 de 1964	1	82	91	91001	5328497.462	1168740.969	2
3	91798	Tarapacá	9038.960497		3	100	91	91798	5333186.781	1287012.453	3
4	91263	El Encanto	10504.3569		3	158	91	91263	5030655.594	1338219.368	4
5	91536	Puerto Arica	13468.9598	Ordenanza No. 023 de 1997	3	150	91	91536	5205882.169	1347753.351	5
6	91530	Puerto Alegría	8291.714148	Ordenanza No. 024 de 1997	3	200	91	91530	4916368.386	1453124.637	6
7	91407	La Pedrera	13631.81317		3	82	91	91407	5329564.887	1400168.771	7
8	91405	La Chorrera	12700.01448		3	184	91	91405	5026624.511	1420989.597	8
9	91669	Santander	14692.13231		3	200	91	91669	5118020.773	1436369.141	9
10	97666	Taraira	6494.496597	Ordenanza No. 22 de 1992	1	100	97	97666	5344147.343	1478408.058	10
11	91460	Mirití-Paraná	16813.38504		3	200	91	91460	5201862.593	1482094.29	11
12	91430	La Victoria	1428.202872	Ordenanza No. 012 de 1996	3	200	91	91430	5210835.666	1544227.873	12
13	86757	San Miguel	363.211923		1	535	86	86757	4570972.04	1592078.221	13
14	86865	Valle Del Guamuez	814.5065139	Decreto No. 3293 de 1985	1	720	86	86865	4567675.944	1603795.157	14
15	86568	Puerto Asís	2801.936232	Decreto No. 1951 de 1967	1	253	86	86568	4629583.222	1611098.505	15
16	86573	Leguízamo	10651.52835		1	200	86	86573	4770555.641	1565121.219	16
17	52560	Potosí	388.6763316		1	2750	52	52560	4507368.226	1638137.997	17
18	86569	Puerto Caicedo	926.789715	Ordenanza No. 012 de 1992	1	272	86	86569	4612594.415	1638308.941	18
19	97511	Pacoa	13947.31504		3	200	97	97511	5229623.179	1579560.393	19
20	52215	Córdoba	304.9173743	Ordenanza No. 39 de 1911	1	2800	52	52215	4514567.29	1643463.496	20
21	52356	Ipiales	1543.100984		1	2897	52	52356	4513580.833	1620244.355	21
22	52224	Cuaspud	57.39483419		1	3050	52	52224	4472690.893	1655090.684	22
23	52573	Puerres	350.4603799		1	2800	52	52573	4518821.326	1649632.45	23
24	86320	Orito	1940.661959	Decreto No. 2891 de 1978	1	361	86	86320	4561079.308	1632668.775	24
25	52210	Contadero	43.2539859		1	2900	52	52210	4495876.604	1661420.908	25
26	52323	Gualmatán	29.9941154		1	2900	52	52323	4489792.135	1660982.722	26
27	52022	Aldana	47.69150287		1	3013	52	52022	4477206.666	1659313.48	27
28	52585	Pupiales	129.8037391		1	2900	52	52585	4484127.575	1659673.937	28
29	18785	Solita	476.8300581	Ordenanza No. 28 de 1996	1	200	18	18785	4706460.386	1658618.225	29
30	52352	Iles	80.63770249		1	2950	52	52352	4496936.828	1666726.058	30
31	52317	Guachucal	155.8504891		1	3087	52	52317	4472505.589	1666149.111	31
32	52287	Funes	395.1190116		1	2350	52	52287	4518143.298	1659350.985	32
33	86571	Puerto Guzmán	4576.402367	Ordenanza No. 013 de 1992	1	306	86	86571	4679504.085	1640632.364	33
34	52506	Ospina	64.91170941		1	2830	52	52506	4493184.454	1672192.085	34
35	86885	Villagarzón	1397.692063	Decreto No. 0574 de 1977	1	426	86	86885	4583194.457	1658936.234	35
36	52227	Cumbal	917.6154898		1	3100	52	52227	4447734.693	1662749.203	36
37	52720	Sapuyes	115.6803199		1	3014	52	52720	4478891.83	1672919.599	37
38	97889	Yavaraté	4592.06517	Decreto No. 1510 de 1914	3	100	97	97889	5375937.382	1650228.205	38
39	52354	Imués	81.7921157		1	2600	52	52354	4498862.549	1676958.106	39
40	18205	Curillo	399.2772192		1	232	18	18205	4671515.447	1675140.282	40
41	18756	Solano	42233.42859	Ordenanza No. 03 de 1985	1	200	18	18756	4986193.564	1581401.948	41
42	52885	Yacuanquer	102.8349195		1	2650	52	52885	4507442.689	1682780.739	42
43	86760	Santiago	342.1607381	Decreto No. 2830 de 1989	1	2125	86	86760	4554165.523	1678312.758	43
44	52788	Tangua	218.1872198		1	2403	52	52788	4515691.921	1675957.891	44
45	52320	Guaitarilla	116.8613386		1	2650	52	52320	4495685.408	1685660.545	45
46	52207	Consacá	119.4707824		1	1675	52	52207	4505676.557	1692039.377	46
47	86755	San Francisco	407.5961111	Decreto No. 2830 de 1989	1	2173	86	86755	4571825.881	1683854.767	47
48	52838	Túquerres	216.5150971		1	3051	52	52838	4484456.889	1683802.413	48
49	86219	Colón	64.32293555	Decreto No. 2830 de 1989	1	2100	86	86219	4558524.037	1693524.304	49
50	52565	Providencia	40.00138596	Ordenanza No. 34 de 1992	1	2300	52	52565	4488077.454	1694708.463	50
51	52480	Nariño	25.33619871	Ordenanza No. 27 de 1999	1	2400	52	52480	4515365.967	1699978.746	51
52	52036	Ancuya	68.97811109		1	1375	52	52036	4495586.468	1696066.699	52
53	86749	Sibundoy	97.79085127	Decreto No. 1871 de 1982	1	2137	86	86749	4564505.84	1694128.124	53
54	18860	Valparaíso	1329.921558	Ordenanza No. 03 de 1985	1	225	18	18860	4707735.991	1675433.113	54
55	52001	Pasto	1100.292976		1	2559	52	52001	4531812.985	1678099.681	55
56	18460	Milán	1220.120568		1	207	18	18460	4734506.886	1684855.037	56
57	18029	Albania	412.8276938		1	270	18	18029	4679357.173	1693849.719	57
58	52683	Sandoná	101.7133171		1	1800	52	52683	4503899.998	1700801.831	58
59	52435	Mallama	569.8137048		1	1809	52	52435	4460364.358	1686227.74	59
60	52381	La Florida	136.4419333		1	2150	52	52381	4511545.67	1705865.575	60
61	52110	Buesaco	636.4479716		1	1960	52	52110	4541856.785	1703741.407	61
62	52699	Santa Cruz	541.2749755	Ordenanza No. 40 de 1913	1	2500	52	52699	4471782.712	1700536.112	62
63	86001	Mocoa	1305.26519	Decreto No. 0013 de 1958	1	605	86	86001	4589994.783	1694074.484	63
64	52612	Ricaurte	1056.437194		1	1181	52	52612	4437949.826	1691461.073	64
65	52411	Linares	135.7719156		1	1450	52	52411	4496755.797	1712678.873	65
66	52019	Albán	38.63842488		1	1700	52	52019	4547189.537	1720860.762	66
67	52258	El Tablón	307.11094		1	1025	52	52258	4556489.909	1714151.8	67
68	52240	Chachagüí	146.3986686	Ordenanza No. 20 de 1992	1	1961	52	52240	4524776.211	1711667.254	68
69	52051	Arboleda	60.23237842		1	2000	52	52051	4540386.792	1722002.948	69
70	52260	El Tambo	246.5473063		1	2200	52	52260	4512154.68	1716527.984	70
71	18150	Cartagena Del Chairá	12771.38667	Ordenanza No. 03 de 1985	1	242	18	18150	4858461.822	1629643.378	71
