DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
50;META;50006;ACACÍAS;2;BARRIDO;META;SI
41;HUILA;41006;ACEVEDO;2;BARRIDO;HUILA;SI
41;HUILA;41013;AGRADO;2;BARRIDO;HUILA;SI
20;CESAR;20011;AGUACHICA;2;BARRIDO;CESAR;SI
17;CALDAS;17013;AGUADAS;2;BARRIDO;CALDAS;SI
85;CASANARE;85010;AGUAZUL;2;BARRIDO;CASANARE;SI
20;CESAR;20013;AGUSTÍN CODAZZI;2;MIXTO;CESAR;SI
41;HUILA;41016;AIPE;2;BARRIDO;HUILA;SI
52;NARIÑO;52019;ALBÁN;2;BARRIDO;NARIÑO;SI
18;CAQUETÁ;18029;ALBANIA;2;BARRIDO;CAQUETÁ;SI
44;LA GUAJIRA;44035;ALBANIA;2;MIXTO;LA GUAJIRA;SI
52;NARIÑO;52022;ALDANA;2;BARRIDO;NARIÑO;NO
47;MAGDALENA;47030;ALGARROBO;2;BARRIDO;MAGDALENA;SI
41;HUILA;41020;ALGECIRAS;2;BARRIDO;HUILA;SI
19;CAUCA;19022;ALMAGUER;2;BARRIDO;CAUCA;SI
15;BOYACÁ;15022;ALMEIDA;2;BARRIDO;BOYACÁ;SI
73;TOLIMA;73024;ALPUJARRA;2;BARRIDO;TOLIMA;SI
41;HUILA;41026;ALTAMIRA;2;BARRIDO;HUILA;SI
73;TOLIMA;73026;ALVARADO;2;BARRIDO;TOLIMA;SI
73;TOLIMA;73030;AMBALEMA;2;BARRIDO;TOLIMA;SI
52;NARIÑO;52036;ANCUYÁ;2;BARRIDO;NARIÑO;SI
17;CALDAS;17042;ANSERMA;2;BARRIDO;CALDAS;SI
73;TOLIMA;73043;ANZOÁTEGUI;2;BARRIDO;TOLIMA;SI
66;RISARALDA;66045;APÍA;2;BARRIDO;RISARALDA;SI
15;BOYACÁ;15047;AQUITANIA;2;BARRIDO;BOYACÁ;SI
47;MAGDALENA;47053;ARACATACA;2;MIXTO;MAGDALENA;SI
17;CALDAS;17050;ARANZAZU;2;BARRIDO;CALDAS;SI
81;ARAUCA;81001;ARAUCA;2;BARRIDO;ARAUCA;SI
81;ARAUCA;81065;ARAUQUITA;2;BARRIDO;ARAUCA;SI
52;NARIÑO;52051;ARBOLEDA;2;BARRIDO;NARIÑO;SI
15;BOYACÁ;15051;ARCABUCO;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19050;ARGELIA;2;BARRIDO;CAUCA;SI
47;MAGDALENA;47058;ARIGUANÍ;2;BARRIDO;MAGDALENA;SI
63;QUINDIO;63001;ARMENIA;2;BARRIDO;QUINDIO;SI
73;TOLIMA;73055;ARMERO;2;BARRIDO;TOLIMA;SI
20;CESAR;20032;ASTREA;2;BARRIDO;CESAR;SI
73;TOLIMA;73067;ATACO;2;BARRIDO;TOLIMA;SI
23;CÓRDOBA;23068;AYAPEL;2;BARRIDO;CÓRDOBA;NO
19;CAUCA;19075;BALBOA;2;BARRIDO;CAUCA;SI
66;RISARALDA;66075;BALBOA;2;BARRIDO;RISARALDA;SI
41;HUILA;41078;BARAYA;2;BARRIDO;HUILA;SI
50;META;50110;BARRANCA DE UPÍA;2;BARRIDO;META;SI
44;LA GUAJIRA;44078;BARRANCAS;2;BARRIDO;LA GUAJIRA;SI
20;CESAR;20045;BECERRIL;2;MIXTO;CESAR;SI
17;CALDAS;17088;BELALCÁZAR;2;BARRIDO;CALDAS;SI
15;BOYACÁ;15087;BELÉN;2;BARRIDO;BOYACÁ;SI
52;NARIÑO;52083;BELÉN;2;BARRIDO;NARIÑO;SI
18;CAQUETÁ;18094;BELÉN DE LOS ANDAQUÍES;2;BARRIDO;CAQUETÁ;SI
66;RISARALDA;66088;BELÉN DE UMBRÍA;2;BARRIDO;RISARALDA;SI
15;BOYACÁ;15090;BERBEO;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15092;BETÉITIVA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15097;BOAVITA;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19100;BOLÍVAR;2;BARRIDO;CAUCA;SI
20;CESAR;20060;BOSCONIA;2;BARRIDO;CESAR;SI
15;BOYACÁ;15104;BOYACÁ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15106;BRICEÑO;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15109;BUENAVISTA;2;BARRIDO;BOYACÁ;SI
23;CÓRDOBA;23079;BUENAVISTA;2;BARRIDO;CÓRDOBA;SI
63;QUINDIO;63111;BUENAVISTA;2;BARRIDO;QUINDIO;SI
70;SUCRE;70110;BUENAVISTA;2;BARRIDO;SUCRE;SI
19;CAUCA;19110;BUENOS AIRES;2;BARRIDO;CAUCA;SI
52;NARIÑO;52110;BUESACO;2;BARRIDO;NARIÑO;SI
15;BOYACÁ;15114;BUSBANZÁ;2;BARRIDO;BOYACÁ;SI
50;META;50124;CABUYARO;2;BARRIDO;META;SI
70;SUCRE;70124;CAIMITO;2;BARRIDO;SUCRE;SI
73;TOLIMA;73124;CAJAMARCA;2;BARRIDO;TOLIMA;SI
19;CAUCA;19130;CAJIBÍO;2;BARRIDO;CAUCA;SI
63;QUINDIO;63130;CALARCÁ;2;BARRIDO;QUINDIO;SI
15;BOYACÁ;15131;CALDAS;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19137;CALDONO;2;BARRIDO;CAUCA;SI
19;CAUCA;19142;CALOTO;2;BARRIDO;CAUCA;SI
41;HUILA;41132;CAMPOALEGRE;2;BARRIDO;HUILA;SI
15;BOYACÁ;15135;CAMPOHERMOSO;2;BARRIDO;BOYACÁ;SI
23;CÓRDOBA;23090;CANALETE;2;BARRIDO;CÓRDOBA;SI
73;TOLIMA;73148;CARMEN DE APICALÁ;2;BARRIDO;TOLIMA;SI
73;TOLIMA;73152;CASABIANCA;2;BARRIDO;TOLIMA;SI
50;META;50150;CASTILLA LA NUEVA;2;BARRIDO;META;SI
23;CÓRDOBA;23162;CERETÉ;2;BARRIDO;CÓRDOBA;SI
15;BOYACÁ;15162;CERINZA;2;BARRIDO;BOYACÁ;SI
47;MAGDALENA;47161;CERRO DE SAN ANTONIO;2;BARRIDO;MAGDALENA;SI
52;NARIÑO;52240;CHACHAGÜÍ;2;BARRIDO;NARIÑO;SI
70;SUCRE;70230;CHALÁN;2;BARRIDO;SUCRE;SI
85;CASANARE;85015;CHÁMEZA;2;BARRIDO;CASANARE;SI
73;TOLIMA;73168;CHAPARRAL;2;BARRIDO;TOLIMA;SI
23;CÓRDOBA;23168;CHIMÁ;2;BARRIDO;CÓRDOBA;NO
20;CESAR;20175;CHIMICHAGUA;2;BARRIDO;CESAR;SI
15;BOYACÁ;15172;CHINAVITA;2;BARRIDO;BOYACÁ;SI
17;CALDAS;17174;CHINCHINÁ;2;BARRIDO;CALDAS;SI
23;CÓRDOBA;23182;CHINÚ;2;BARRIDO;CÓRDOBA;NO
15;BOYACÁ;15176;CHIQUINQUIRÁ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15232;CHÍQUIZA;2;BARRIDO;BOYACÁ;SI
20;CESAR;20178;CHIRIGUANÁ;2;BARRIDO;CESAR;SI
15;BOYACÁ;15180;CHISCAS;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15183;CHITA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15185;CHITARAQUE;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15187;CHIVATÁ;2;BARRIDO;BOYACÁ;SI
47;MAGDALENA;47170;CHIVOLO;2;BARRIDO;MAGDALENA;SI
15;BOYACÁ;15236;CHIVOR;2;BARRIDO;BOYACÁ;SI
47;MAGDALENA;47189;CIÉNAGA;2;MIXTO;MAGDALENA;SI
23;CÓRDOBA;23189;CIÉNAGA DE ORO;2;BARRIDO;CÓRDOBA;SI
15;BOYACÁ;15189;CIÉNEGA;2;BARRIDO;BOYACÁ;SI
63;QUINDIO;63190;CIRCASIA;2;BARRIDO;QUINDIO;SI
73;TOLIMA;73200;COELLO;2;BARRIDO;TOLIMA;SI
41;HUILA;41206;COLOMBIA;2;BARRIDO;HUILA;SI
52;NARIÑO;52203;COLÓN;2;BARRIDO;NARIÑO;SI
86;PUTUMAYO;86219;COLÓN;2;BARRIDO;PUTUMAYO;SI
70;SUCRE;70204;COLOSÓ;2;BARRIDO;SUCRE;SI
15;BOYACÁ;15204;CÓMBITA;2;BARRIDO;BOYACÁ;SI
47;MAGDALENA;47205;CONCORDIA;2;BARRIDO;MAGDALENA;SI
52;NARIÑO;52207;CONSACÁ;2;BARRIDO;NARIÑO;SI
52;NARIÑO;52210;CONTADERO;2;BARRIDO;NARIÑO;SI
15;BOYACÁ;15212;COPER;2;BARRIDO;BOYACÁ;SI
52;NARIÑO;52215;CÓRDOBA;2;BARRIDO;NARIÑO;NO
63;QUINDIO;63212;CÓRDOBA;2;BARRIDO;QUINDIO;SI
19;CAUCA;19212;CORINTO;2;BARRIDO;CAUCA;SI
70;SUCRE;70215;COROZAL;2;BARRIDO;SUCRE;SI
15;BOYACÁ;15215;CORRALES;2;BARRIDO;BOYACÁ;SI
23;CÓRDOBA;23300;COTORRA;2;BARRIDO;CÓRDOBA;SI
15;BOYACÁ;15218;COVARACHÍA;2;BARRIDO;BOYACÁ;SI
70;SUCRE;70221;COVEÑAS;2;BARRIDO;SUCRE;SI
73;TOLIMA;73217;COYAIMA;2;BARRIDO;TOLIMA;SI
81;ARAUCA;81220;CRAVO NORTE;2;BARRIDO;ARAUCA;SI
52;NARIÑO;52224;CUASPÚD;2;BARRIDO;NARIÑO;NO
81;BOYACÁ;15223;CUBARÁ;2;MIXTO;ARAUCA;SI
50;META;50223;CUBARRAL;2;BARRIDO;META;SI
15;BOYACÁ;15224;CUCAITA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15226;CUÍTIVA;2;BARRIDO;BOYACÁ;SI
50;META;50226;CUMARAL;2;BARRIDO;META;SI
52;NARIÑO;52227;CUMBAL;2;BARRIDO;NARIÑO;NO
52;NARIÑO;52233;CUMBITARA;2;MIXTO;NARIÑO;SI
73;TOLIMA;73226;CUNDAY;2;BARRIDO;TOLIMA;SI
18;CAQUETÁ;18205;CURILLO;2;MIXTO;CAQUETÁ;SI
20;CESAR;20228;CURUMANÍ;2;BARRIDO;CESAR;SI
44;LA GUAJIRA;44090;DIBULLA;2;MIXTO;LA GUAJIRA;SI
