DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
5;ANTIOQUIA;5002;ABEJORRAL;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5004;ABRIAQUÕ;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5021;ALEJANDRÕA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5030;AMAG¡;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5031;AMALFI;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5034;ANDES;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5036;ANGEL”POLIS;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5038;ANGOSTURA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5040;ANORÕ;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5044;ANZ¡;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5045;APARTAD”;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5051;ARBOLETES;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5055;ARGELIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5059;ARMENIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5079;BARBOSA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5088;BELLO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5086;BELMIRA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5091;BETANIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5093;BETULIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5107;BRICE—O;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5113;BURITIC¡;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5138;CA—ASGORDAS;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5125;CAICEDO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5129;CALDAS;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5134;CAMPAMENTO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5142;CARACOLÕ;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5145;CARAMANTA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5147;CAREPA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5150;CAROLINA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5154;CAUCASIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5120;C¡CERES;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5172;CHIGOROD”;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5190;CISNEROS;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5101;CIUDAD BOLÕVAR;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5197;COCORN¡;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5206;CONCEPCI”N;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5209;CONCORDIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5212;COPACABANA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5234;DABEIBA;2;MIXTO;ANTIOQUIA;SI
5;ANTIOQUIA;5237;DONMATÕAS;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5240;EB…ICO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5250;EL BAGRE;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5148;EL CARMEN DE VIBORAL;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5697;EL SANTUARIO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5264;ENTRERRÕOS;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5266;ENVIGADO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5282;FREDONIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5284;FRONTINO;2;MIXTO;ANTIOQUIA;SI
5;ANTIOQUIA;5310;G”MEZ PLATA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5306;GIRALDO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5308;GIRARDOTA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5313;GRANADA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5315;GUADALUPE;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5318;GUARNE;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5321;GUATAP…;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5347;HELICONIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5353;HISPANIA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5360;ITAGUÕ;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5361;ITUANGO;2;MIXTO;ANTIOQUIA;SI
5;ANTIOQUIA;5364;JARDÕN;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5368;JERIC”;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5376;LA CEJA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5380;LA ESTRELLA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5390;LA PINTADA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5400;LA UNI”N;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5411;LIBORINA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5425;MACEO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5440;MARINILLA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5001;MEDELLÕN;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5467;MONTEBELLO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5480;MUTAT¡;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5483;NARI—O;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5495;NECHÕ;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5490;NECOCLÕ;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5501;OLAYA;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5541;PE—OL;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5543;PEQUE;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5576;PUEBLORRICO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5579;PUERTO BERRÕO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5585;PUERTO NARE;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5591;PUERTO TRIUNFO;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5604;REMEDIOS;2;BARRIDO;ANTIOQUIA;SI
5;ANTIOQUIA;5607;RETIRO;2;BARRIDO;ANTIOQUIA;SI
